date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:11	117568/117568	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Dec%202024%2010:13:11%20GMT	https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/index.html	(from )
02:13:11	216/216	---MCZ	200	added ('OK')	text/plain	date:Sun,%2001%20Dec%202024%2010:13:11%20GMT	https://theintercept.com/robots.txt		(from )
02:13:11	355/355	---M--	200	added ('OK')	image/png	etag:%22672df228-163%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-57x57.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-57x57.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:11	381/381	---M--	200	added ('OK')	image/png	etag:%22672df228-17d%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-60x60.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-60x60.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:12	395/395	---M--	200	added ('OK')	image/png	etag:%22672df228-18b%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-72x72.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-72x72.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:12	416/416	---M--	200	added ('OK')	image/png	etag:%22672df228-1a0%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-76x76.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-76x76.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:12	560/560	---M--	200	added ('OK')	image/png	etag:%22672df228-230%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-114x114.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-114x114.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:12	566/566	---M--	200	added ('OK')	image/png	etag:%22672df228-236%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-120x120.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-120x120.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:12	650/650	---M--	200	added ('OK')	image/png	etag:%22672df228-28a%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-144x144.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-144x144.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
02:13:13	658/658	---M--	200	added ('OK')	image/png	etag:%22672df228-292%22	https://theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-152x152.png	C:/Users/shado/Dropbox/My%20PC%20(DESKTOP-C7UPTTD)/Desktop/Larp%20Creator/intersept.com/theintercept.com/wp-content/themes/intercept/assets/icons/apple-touch-icon-152x152.png	(from https://theintercept.com/2024/11/27/biden-trump-commutations-death-row-executions/)
